date,sunrise,sunset
2023-01-01,22:53:19,06:57:13
2023-01-02,22:53:12,06:58:15
2023-01-03,22:53:02,06:59:19
2023-01-04,22:52:48,07:00:25
2023-01-05,22:52:31,07:01:34
2023-01-06,22:52:11,07:02:46
2023-01-07,22:51:48,07:03:59
2023-01-08,22:51:22,07:05:15
2023-01-09,22:50:53,07:06:33
2023-01-10,22:50:20,07:07:52
2023-01-11,22:49:45,07:09:14
2023-01-12,22:49:06,07:10:38
2023-01-13,22:48:25,07:12:03
2023-01-14,22:47:41,07:13:30
2023-01-15,22:46:54,07:14:59
2023-01-16,22:46:04,07:16:29
2023-01-17,22:45:11,07:18:01
2023-01-18,22:44:16,07:19:34
2023-01-19,22:43:18,07:21:09
2023-01-20,22:42:17,07:22:44
2023-01-21,22:41:14,07:24:21
2023-01-22,22:40:08,07:25:59
2023-01-23,22:39:00,07:27:37
2023-01-24,22:37:50,07:29:17
2023-01-25,22:36:37,07:30:58
2023-01-26,22:35:21,07:32:39
2023-01-27,22:34:04,07:34:21
2023-01-28,22:32:44,07:36:03
2023-01-29,22:31:22,07:37:47
2023-01-30,22:29:58,07:39:30
2023-01-31,22:28:32,07:41:14
2023-02-01,22:27:04,07:42:59
2023-02-02,22:25:34,07:44:44
2023-02-03,22:24:02,07:46:29
2023-02-04,22:22:28,07:48:15
2023-02-05,22:20:52,07:50:00
2023-02-06,22:19:15,07:51:46
2023-02-07,22:17:36,07:53:32
2023-02-08,22:15:55,07:55:18
2023-02-09,22:14:12,07:57:04
2023-02-10,22:12:29,07:58:50
2023-02-11,22:10:43,08:00:36
2023-02-12,22:08:56,08:02:22
2023-02-13,22:07:08,08:04:08
2023-02-14,22:05:18,08:05:54
2023-02-15,22:03:27,08:07:39
2023-02-16,22:01:35,08:09:25
2023-02-17,21:59:41,08:11:10
2023-02-18,21:57:47,08:12:55
2023-02-19,21:55:51,08:14:40
2023-02-20,21:53:54,08:16:25
2023-02-21,21:51:56,08:18:09
2023-02-22,21:49:57,08:19:54
2023-02-23,21:47:57,08:21:38
2023-02-24,21:45:56,08:23:21
2023-02-25,21:43:54,08:25:05
2023-02-26,21:41:51,08:26:48
2023-02-27,21:39:48,08:28:30
2023-02-28,21:37:43,08:30:13
2023-03-01,21:35:38,08:31:55
2023-03-02,21:33:32,08:33:37
2023-03-03,21:31:26,08:35:19
2023-03-04,21:29:19,08:37:00
2023-03-05,21:27:11,08:38:42
2023-03-06,21:25:03,08:40:22
2023-03-07,21:22:54,08:42:03
2023-03-08,21:20:44,08:43:43
2023-03-09,21:18:35,08:45:23
2023-03-10,21:16:24,08:47:03
2023-03-11,21:14:14,08:48:43
2023-03-12,21:12:03,08:50:22
2023-03-13,21:09:51,08:52:01
2023-03-14,21:07:40,08:53:40
2023-03-15,21:05:28,08:55:19
2023-03-16,21:03:16,08:56:57
2023-03-17,21:01:03,08:58:36
2023-03-18,20:58:51,09:00:14
2023-03-19,20:56:38,09:01:52
2023-03-20,20:54:25,09:03:29
2023-03-21,20:52:12,09:05:07
2023-03-22,20:49:59,09:06:45
2023-03-23,20:47:46,09:08:22
2023-03-24,20:45:33,09:09:59
2023-03-25,20:43:20,09:11:36
2023-03-26,20:41:07,09:13:13
2023-03-27,20:38:55,09:14:50
2023-03-28,20:36:42,09:16:27
2023-03-29,20:34:29,09:18:04
2023-03-30,20:32:17,09:19:41
2023-03-31,20:30:05,09:21:17
2023-04-01,20:27:53,09:22:54
2023-04-02,20:25:41,09:24:30
2023-04-03,20:23:30,09:26:07
2023-04-04,20:21:19,09:27:43
2023-04-05,20:19:09,09:29:20
2023-04-06,20:16:58,09:30:56
